DATE	1	7	30	90	180	270	360	720	1080	1440	1800	2160	2520	2880	3240	3600	5400	7200	9000	10800
2024-09-25	2.77429172	2.77430182	2.77434056	2.77494622	2.77566247	2.77642674	2.77711549	2.77960289	2.7816099	2.78315112	2.78377397	2.78463434	2.78554307	2.78637746	2.78723136	2.78811488	2.79250538	2.79620176	2.80049927	2.80530998
2024-09-24	2.77372679	2.77430182	2.77434056	2.774889	2.77572106	2.77642674	2.77717725	2.7795293	2.78146354	2.78347806	2.78377353	2.78417429	2.78512758	2.78621109	2.78737834	2.78858967	2.79215425	2.79647861	2.79892634	2.80565328
2024-09-23	2.77372679	2.77430182	2.77445247	2.77494622	2.77554529	2.77636613	2.77717725	2.77952787	2.78169585	2.78389524	2.78413678	2.78434211	2.78507368	2.78646164	2.78790894	2.78892706	2.79183436	2.7955089	2.79723631	2.80271322
2024-09-22	2.774007	2.77430182	2.77445247	2.77494622	2.77554529	2.77636613	2.77717725	2.77926401	2.78116373	2.78292427	2.78315823	2.7836741	2.7842672	2.78563373	2.78703454	2.78769227	2.7907814	2.79328671	2.79651109	2.79979515
2024-09-21	2.77372679	2.77430182	2.77445247	2.77511787	2.77583824	2.776782	2.77748743	2.77970036	2.78196431	2.78401381	2.78440398	2.78483029	2.78540502	2.7867402	2.78810576	2.78878626	2.79185106	2.79401472	2.79530251	2.80098246
2024-09-18	2.77372679	2.7742804	2.77445247	2.77517508	2.77589683	2.77689096	2.777613	2.77985752	2.78209849	2.78396026	2.78464616	2.78490443	2.78592851	2.7871192	2.78823549	2.78903774	2.79188216	2.79470622	2.79707683	2.79833825
2024-09-17	2.77372679	2.77418977	2.77445247	2.77517508	2.77601401	2.77689905	2.77760954	2.77963427	2.78188521	2.78355916	2.78432364	2.78461868	2.78617477	2.78735254	2.78839288	2.78926205	2.79289801	2.79580685	2.79903024	2.80000196
2024-09-16	2.77372679	2.77407938	2.77406078	2.77506065	2.77595542	2.77689631	2.77748608	2.7796362	2.78188206	2.78376245	2.78441964	2.78480329	2.78664859	2.78794783	2.78904883	2.78994825	2.79419485	2.79754233	2.80097847	2.8035436
2024-09-15	2.77372679	2.77376796	2.77406078	2.77506065	2.77600799	2.77688678	2.77748603	2.77961717	2.78198761	2.78406622	2.78499695	2.78532793	2.78749583	2.78859102	2.78938529	2.79043367	2.79443434	2.79840361	2.80015408	2.80819056
2024-09-14	2.77372679	2.77373666	2.77406078	2.77511787	2.77606287	2.77689269	2.77748608	2.77983196	2.7821063	2.78433853	2.78497352	2.78550347	2.78781049	2.78894556	2.78975073	2.7908896	2.79429496	2.79794646	2.80054421	2.80700197
2024-09-11	2.77372679	2.77373666	2.77406078	2.77506065	2.7760726	2.77690092	2.77736269	2.78003998	2.78240988	2.78465963	2.78555805	2.78579963	2.78798189	2.78930804	2.79027868	2.79143021	2.79495193	2.79864475	2.80356614	2.80651733
2024-09-10	2.77321836	2.77373666	2.77406078	2.77500344	2.77624837	2.77697225	2.77798024	2.78087624	2.78372321	2.78610567	2.78689758	2.78696457	2.78916067	2.79068972	2.79192011	2.79324932	2.79633141	2.79970872	2.80450725	2.80498818
2024-09-09	2.77321836	2.77373666	2.7742846	2.77471736	2.7760726	2.77689348	2.77798045	2.78172489	2.78437208	2.78659651	2.78705022	2.78719172	2.78840914	2.78982986	2.79126429	2.79258862	2.79643657	2.79727133	2.80063049	2.80344994
