fecha	tfondeo
19981103	30.75
19981104	29.2
19981105	29.8
19981106	31.3
19981109	32.9
19981110	34.54
19981111	34.08
19981112	33.94
19981113	33.16
19981116	32.6
19981117	32.36
19981118	31.99
19981119	33.41
19981123	32.57
19981124	32.45
19981125	31.85
19981126	31.5
19981127	33.93
19981130	34.37
19981201	35.88
19981202	35.29
19981203	35.25
19981204	35.09
19981207	34.8
19981208	34.52
19981209	34.87
19981210	34.58
19981211	35.24
19981214	33.95
19981215	33.94
19981216	33.82
19981217	33.18
19981218	33.58
19981221	33.23
19981222	33.23
19981223	33.33
19981224	33.7
19981228	33.68
19981229	33.67
19981230	33.3
19981231	33.14
19990104	32.17
19990105	31.68
19990106	30.87
19990107	31.33
19990108	30.85
19990111	31.42
19990112	33.84
19990113	36.09
19990114	36.41
19990115	35.77
19990118	34.63
19990119	36.07
19990120	35.91
19990121	35.35
19990122	35.75
19990125	35.26
19990126	34.89
19990127	34.07
19990128	34.07
19990129	35.85
19990201	34.12
19990202	33.65
19990203	33.74
19990204	34.65
19990208	33.06
19990209	33.32
19990210	32.09
19990211	29.59
19990212	29.11
19990215	28.58
19990216	27.82
19990217	28.79
19990218	28.2
19990219	27.99
19990222	27.85
19990223	28.09
19990224	27.8
19990225	28
19990226	28.46
19990301	27.77
19990302	28.69
19990303	28.28
19990304	27.76
19990305	27.68
19990308	27.3
19990309	26.56
19990310	25.81
19990311	25.26
19990312	25.06
19990315	25.04
19990316	26.2
19990317	27.31
19990318	25.32
19990319	26.57
19990322	25.82
19990323	24.94
19990324	25
19990325	24.59
19990326	24.08
19990329	23.47
19990330	23.37
19990331	22.96
19990405	22.47
19990406	22.11
19990407	21.83
19990408	21.35
19990409	22.23
19990412	22.94
19990413	21.74
19990414	22.2
19990415	21.16
19990416	20.4
19990419	20.06
19990420	20.19
19990421	20.49
19990422	20.29
19990423	20.72
19990426	20.42
19990427	20.57
19990428	20.56
19990429	20.1
19990430	20.24
19990503	20.25
19990504	20.15
19990506	21.27
19990507	22.51
19990510	22.84
19990511	22.96
19990512	22.29
19990513	20.7
19990514	21.05
19990517	20.84
19990518	20.3
19990519	19.94
19990520	19.94
19990521	20.55
19990524	20.37
19990525	21.44
19990526	21.19
19990527	21.02
19990528	21.8
19990531	21.78
19990601	22.62
19990602	22.84
19990603	22.49
19990604	23.35
19990607	23.71
19990608	23.39
19990609	23.57
19990610	22.57
19990611	22.55
19990614	23.17
19990615	22.64
19990616	22.12
19990617	21.48
19990618	21.16
19990621	21.08
19990622	20.57
19990623	20.34
19990624	20.55
19990625	21.42
19990628	21.24
19990629	20.66
19990630	21.01
19990701	20.08
19990702	21.62
19990705	21.69
19990706	22.18
19990707	20.52
19990708	20.09
19990709	20.02
19990712	20.26
19990713	20.75
19990714	19.81
19990715	19.56
19990716	20.24
19990719	19.66
19990720	19.86
19990721	19.87
19990722	19.74
19990723	21.12
19990726	21.35
19990727	20.43
19990728	20.55
19990729	22.16
19990730	21.9
19990802	22.19
19990803	23.52
19990804	22.12
19990805	21.5
19990806	21.5
19990809	21.61
19990810	21.32
19990811	19.99
19990812	20.05
19990813	20.19
19990816	20.28
19990817	19.79
19990818	19.94
19990819	19.82
19990820	20.48
19990823	19.89
19990824	19.15
19990825	19.31
19990826	20.18
19990827	19.83
19990830	19.17
19990831	19.51
19990902	20.05
19990903	21.31
19990906	20.23
19990907	19.9
19990908	20.51
19990909	20.58
19990910	20.81
19990913	20.43
19990914	20.38
19990915	20.88
19990917	21.55
19990920	19.98
19990921	20.16
19990922	19.51
19990923	19.01
19990924	20.77
19990927	20.42
19990928	20.4
19990929	19.04
19990930	18.9
19991001	19.73
19991004	19.04
19991005	18.93
19991006	18.56
19991007	18.37
19991008	18.08
19991011	17.68
19991012	17.27
19991013	17.4
19991014	18.17
19991015	19.19
19991018	18.92
19991019	18.53
19991020	18.38
19991021	18.22
19991022	18.1
19991025	18.51
19991026	18.64
19991027	16.91
19991028	17.42
19991029	17.78
19991101	19.45
19991103	17.91
19991104	16.93
19991105	16.51
19991108	16.44
19991109	16.09
19991110	17.02
19991111	16.54
19991112	16.69
19991115	16.93
19991116	17.13
19991117	16.8
19991118	16.9
19991119	18.02
19991122	19.75
19991123	20.96
19991124	18.86
19991125	18.78
19991126	19.72
19991129	19.74
19991130	19.97
19991201	17.97
19991202	17.76
19991203	17.71
19991206	17.29
19991207	17.21
19991208	17.13
19991209	16.91
19991210	17.03
19991213	17.8
19991214	17.07
19991215	16.96
19991216	16.91
19991217	17.75
19991220	17.08
19991221	16.79
19991222	15.95
19991223	16.64
19991224	17.49
19991227	17.17
19991228	17.08
19991229	17.21
19991230	18.39
20000103	17.14
20000104	17.07
20000105	17.13
20000106	17.07
20000107	17.23
20000110	16.69
20000111	16.77
20000112	16.52
20000113	16.63
20000114	17.13
20000117	17.03
20000118	17.96
20000119	17.74
20000120	18.52
20000121	19.07
20000124	18.44
20000125	18.39
20000126	18.39
20000127	18.37
20000128	19.19
20000131	19.25
20000201	19.32
20000202	19.12
20000203	18.14
20000204	17.77
20000207	17.45
20000208	17.12
20000209	16.83
20000210	16.79
20000211	17
20000214	17.14
20000215	17.17
20000216	17.56
20000217	16.88
20000218	16.86
20000221	16.92
20000222	16.87
20000223	17
20000224	16.67
20000225	16.99
20000228	17.21
20000229	17.38
20000301	16.49
20000302	16.19
20000303	16.14
20000306	15.88
20000307	15.52
20000308	15.27
20000309	15.05
20000310	15.45
20000313	15.61
20000314	15.02
20000315	14.42
20000316	14.48
20000317	15.12
20000320	14.83
20000322	14.34
20000323	14.06
20000324	13.63
20000327	13.95
20000328	14.08
20000329	14.32
20000330	13.79
20000331	13.87
20000403	13.88
20000404	13.89
20000405	14.39
20000406	13.84
20000407	13.62
20000410	13.4
20000411	14.02
20000412	14.24
20000413	13.48
20000414	14.34
20000417	14.66
20000418	14.23
20000419	14.56
20000424	14.69
20000425	13.96
20000426	13.66
20000427	14.19
20000428	14.46
20000502	13.97
20000503	14.39
20000504	14.3
20000508	14.5
20000509	14.56
20000510	14.28
20000511	14.2
20000512	14.18
20000515	14.09
20000516	14.11
20000517	14.47
20000518	14.45
20000519	14.27
20000522	14.34
20000523	14.92
20000524	16.21
20000525	16.31
20000526	16.74
20000529	16.67
20000530	16.73
20000531	16.23
20000601	15.69
20000602	15.18
20000605	14.96
20000606	15.6
20000607	16.66
20000608	16.16
20000609	17.04
20000612	16.58
20000613	16.29
20000614	16.04
20000615	16.03
20000616	16.82
20000619	16.36
20000620	16.37
20000621	16.38
20000622	16.35
20000623	16.82
20000626	17.14
20000627	18.14
20000628	18.08
20000629	18.06
20000630	18.06
20000703	15.92
20000704	16.06
20000705	15.2
20000706	14.37
20000707	14
20000710	14.09
20000711	14.06
20000712	14.06
20000713	13.91
20000714	14.07
20000717	13.94
20000718	13.86
20000719	13.92
20000720	13.7
20000721	13.85
20000724	13.61
20000725	13.59
20000726	13.6
20000727	13.41
20000728	13.39
20000731	13.75
20000801	16
20000802	17.62
20000803	17.66
20000804	17.01
