Date	Close				
28/09/2019	49387.28125				
29/09/2019	49491.71875				
30/09/2019	49732.30078				
01/10/2019	49911.96875				
02/10/2019	49695.55859				
05/10/2019	49974.48047				
06/10/2019	50260.25				
07/10/2019	50746.92969				
08/10/2019	50777.89844				
09/10/2019	51065.48828				
12/10/2019	50636.32031				
13/10/2019	50382.85938				
14/10/2019	50456.17188				
15/10/2019	50591.14844				
16/10/2019	50395.82813				
20/10/2019	49304.94141				
21/10/2019	48976.44922				
22/10/2019	47862.10156				
23/10/2019	47799.08984				
26/10/2019	47830.48828				
27/10/2019	47926.73047				
28/10/2019	48400.75				
29/10/2019	48808.39063				
30/10/2019	48882.78125				
02/11/2019	48928.48047				
03/11/2019	48685.19141				
04/11/2019	48535.58984				
05/11/2019	48969.64063				
06/11/2019	48643.42969				
09/11/2019	48463.44141				
10/11/2019	47970.19141				
11/11/2019	47437.92969				
12/11/2019	47599.42188				
13/11/2019	47548.10156				
16/11/2019	47720.91016				
17/11/2019	47884.62891				
18/11/2019	47662.12109				
19/11/2019	48240				
20/11/2019	48556.44922				
23/11/2019	48671.28906				
24/11/2019	48557.01172				
25/11/2019	48156.44141				
26/11/2019	47817.05078				
27/11/2019	47477.57813				
01/12/2019	47076.51172				
02/12/2019	47521.83984				
03/12/2019	47361.03906				
04/12/2019	46515.92969				
07/12/2019	46858.46094				
08/12/2019	46793.57813				
09/12/2019	46124.85156				
14/12/2019	45826.64063				
15/12/2019	46684.05859				
16/12/2019	47457.46094				
17/12/2019	47951.75				
18/12/2019	47926.10938				
21/12/2019	48058.96094				
22/12/2019	48331.51172				
23/12/2019	48532.14063				
24/12/2019	48782.55859				
25/12/2019	48768.30078				
28/12/2019	48434.39063				
29/12/2019	48933.60938				
30/12/2019	49090.73828				
31/12/2019	48745.28125				
01/01/2020	48431.57813				
04/01/2020	48442.21875				
05/01/2020	48046.80078				
06/01/2020	48058.21094				
07/01/2020	48297.71094				
08/01/2020	48284.60938				
11/01/2020	48358.16016				
13/01/2020	47809.98047				
14/01/2020	47094.12891				
15/01/2020	46992.17188				
18/01/2020	46474.69922				
19/01/2020	46719.51172				
20/01/2020	46294.42969				
21/01/2020	46551.55078				
22/01/2020	46728.92188				
25/01/2020	46519.28906				
26/01/2020	46258.96094				
27/01/2020	46419.76953				
28/01/2020	45787.89844				
29/01/2020	45666.76953				
01/02/2020	45305.01953				
02/02/2020	45600.87109				
03/02/2020	45776.69141				
04/02/2020	45433.08984				
05/02/2020	45091.98828				
08/02/2020	44851.05078				
09/02/2020	44647.37109				
10/02/2020	44715.87891				
11/02/2020	44662.55078				
12/02/2020	45013.12109				
15/02/2020	45243.98047				
16/02/2020	45130.69922				
17/02/2020	45181.82031				
18/02/2020	45476.57031				
19/02/2020	45939.53906				
22/02/2020	46301.14063				
23/02/2020	46660.75				
24/02/2020	46760.57813				
25/02/2020	47197.23828				
26/02/2020	46938.82031				
29/02/2020	46660.87109				
01/03/2020	46488.37891				
02/03/2020	46759.41016				
03/03/2020	46456.91016				
04/03/2020	46737.64063				
07/03/2020	46747.85156				
08/03/2020	46908.94141				
09/03/2020	46874.42969				
10/03/2020	47031.26953				
11/03/2020	47663.19922				
14/03/2020	46653.51953				
15/03/2020	47053.89063				
16/03/2020	47318.51953				
17/03/2020	48562.64844				
18/03/2020	48981.41016				
21/03/2020	49235.80859				
22/03/2020	48990.92188				
23/03/2020	49025.14844				
24/03/2020	48696.30078				
25/03/2020	48406.01172				
28/03/2020	48454.21094				
29/03/2020	48704.62891				
30/03/2020	49002.76953				
31/03/2020	48747.78906				
01/04/2020	48908.23828				
04/04/2020	48850.92969				
05/04/2020	49462.76953				
06/04/2020	49603.64844				
07/04/2020	49438.23828				
08/04/2020	49643.94141				
11/04/2020	49705.28125				
12/04/2020	49698.01172				
13/04/2020	49449.44141				
14/04/2020	49056.03906				
15/04/2020	49302.57031				
18/04/2020	49320.21094				
19/04/2020	49963.87109				
20/04/2020	49894.55859				
21/04/2020	49244.39844				
22/04/2020	48383.58984				
25/04/2020	48767.01953				
26/04/2020	49096.12891				
27/04/2020	48556.69141				
28/04/2020	48059.05859				
29/04/2020	48264.62891				
02/05/2020	48785.48047				
