Date	Close
20200313	38085.05
20200312	36636.7
20200311	38678.55
20200310	39565.44
20200309	38730.56
20200306	41388.78
20200305	42344.86
20200304	43404.76
20200303	42472.25
20200302	42167.24
20200228	41324.31
20200227	41607.42
20200226	42737.28
20200225	43045.68
20200224	43818.07
20200221	44802.54
20200220	44774.54
20200219	44901.5
20200218	44974.11
20200217	45016.96
20200214	44999.68
20200213	45005.12
20200212	45338.37
20200211	45027.41
20200210	44290.53
20200207	44399.33
20200206	44493.15
20200205	44782.86
20200204	45047.07
20200131	44108.31
20200130	44862.76
20200129	45132.6
20200128	44717.94
20200127	44134.39
20200124	45141.62
20200123	45476.43
20200122	45604.44
20200121	45637.32
20200120	45902.68
20200117	45817.76
20200116	45303.08
20200115	44453.33
20200114	44773.24
20200113	44847.47
20200110	44660.33
20200109	44572.17
20200108	44470.91
20200107	44157.81
20200106	44495.3
20200103	44624.85
20200102	44437.23
20191231	43541.02
20191230	43657.48
20191227	44261.51
20191226	44300.17
20191224	44157.97
20191223	44276.85
20191220	44505.64
20191219	44649.43
20191218	45106.29
20191217	44401.16
20191216	44356.22
20191213	44254.43
20191211	43195.19
20191210	42633.43
20191209	41951.59
20191206	41938.69
20191205	42216.03
20191204	42191.92
20191203	42294.52
20191202	42544.14
20191129	42820.18
20191128	43100.12
20191127	43036.16
20191126	42852.36
20191125	43535.11
20191122	43521.86
20191121	43255.43
20191120	43604.7
20191119	43602.25
20191115	43392.36
20191114	43188.69
20191113	43098.66
20191112	43100.77
20191111	43595.6
20191108	43702.23
20191107	44119.9
20191106	43818.51
20191105	43611.84
20191104	43815.76
20191101	43814.55
20191031	43337.28
20191030	43741.62
20191029	43851.06
20191028	43765.49
20191025	43389.16
20191024	43776.6
20191023	43546.48
20191022	43363.54
20191021	43405.43
20191018	43178.63
20191017	43479.98
20191016	43538.49
20191015	43244.63
20191014	43299.53
20191011	43214.6
20191010	42929.76
20191009	42501.92
20191008	42535.14
20191007	42952.29
20191004	43416.9
20191003	42443.31
20191002	42222.9
20191001	42937.16
20190930	43011.27
20190927	42857.58
20190926	42984.75
20190925	43014.08
20190924	43099.33
20190923	43503.78
20190920	43559.45
20190919	43017.46
20190918	43070.34
20190917	43448.94
20190913	42841.46
20190912	42670.41
20190911	42749.17
20190910	42588.1
20190909	42662.47
20190906	42707.66
20190905	42731.48
20190904	42324.47
20190903	41826.55
20190902	42108.23
20190830	42622.5
20190829	41831.3
20190828	40941.96
20190827	40648.97
20190826	40081.72
20190823	39862.07
20190822	40144.24
20190821	40076.04
20190820	39700.05
20190819	39556.32
20190816	39339.55
