DATE 	28	91	182	364	728	1092	1820	3640
20191205	0.197103	0.139817	0.116055	0.09	0.125	0.1565	0.17	0.167274
20191204	0.197188	0.139882	0.116093	0.09	0.125	0.1565	0.17	0.167667
20191203	0.202926	0.144357	0.118796	0.09	0.12125	0.154875	0.17	0.16351
20191202	0.220183	0.157815	0.126925	0.09	0.11	0.15	0.1685	0.149445
20191129	0.217702	0.15497	0.127331	0.096	0.128	0.163	0.1755	0.164731
20191128	0.214063	0.152272	0.125335	0.095	0.128	0.163	0.1755	0.165491
20191127	0.206663	0.146465	0.122045	0.0955	0.133	0.1625	0.181	0.189172
20191126	0.247398	0.175897	0.145836	0.112	0.1465	0.17	0.181	0.186237
20191125	0.249262	0.17728	0.146854	0.1125	0.1465	0.17	0.181	0.185842
20191122	0.249215	0.177245	0.146834	0.1125	0.1465	0.17	0.18555	0.195956
20191121	0.264987	0.189502	0.154194	0.1125	0.1375	0.17	0.187	0.18007
20191120	0.264987	0.189502	0.154193	0.1125	0.1375	0.17	0.187	0.180073
20191119	0.265113	0.1896	0.154251	0.1125	0.13745	0.17	0.18695	0.179906
20191118	0.237993	0.16847	0.14151	0.1125	0.1545	0.175	0.184	0.195472
20191115	0.237948	0.168435	0.14149	0.1125	0.1545	0.175	0.184	0.195647
20191114	0.237814	0.168334	0.141432	0.1125	0.1545	0.17475	0.1825	0.192816
20191113	0.237947	0.168435	0.14149	0.1125	0.1545	0.175	0.1895	0.207937
20191112	0.251777	0.179237	0.148031	0.1125	0.145	0.17	0.195	0.213073
20191111	0.250167	0.177665	0.148031	0.115	0.151	0.17	0.205	0.245041
20191108	0.29968	0.21427	0.175217	0.129	0.1535	0.175	0.2065	0.231141
20191107	0.290701	0.207246	0.170952	0.129	0.16	0.179475	0.2175	0.257429
20191106	0.291198	0.207715	0.170552	0.1275	0.16	0.19	0.2175	0.231433
20191105	0.286451	0.204352	0.167594	0.125	0.1575	0.19	0.2225	0.238531
20191104	0.288954	0.206299	0.168765	0.125	0.156	0.19	0.2225	0.235241
20191101	0.316243	0.227251	0.1821	0.127	0.1445	0.19	0.224	0.214024
20191031	0.327235	0.234382	0.190026	0.137	0.162375	0.2005	0.2325	0.235316
20191030	0.322934	0.231153	0.187746	0.1361	0.16305	0.200875	0.2274	0.225412
20191029	0.325091	0.232669	0.18895	0.137	0.165	0.205	0.2325	0.229159
20191028	0.325468	0.232604	0.189815	0.1395	0.171	0.208	0.232525	0.232076
20191025	0.318135	0.226334	0.187503	0.1435	0.185	0.2125	0.232	0.245096
20191024	0.329346	0.234461	0.194073	0.148	0.188	0.2125	0.234	0.252717
20191023	0.325871	0.23176	0.19245	0.148	0.19	0.2125	0.234	0.256514
20191022	0.325844	0.231739	0.192438	0.148	0.19	0.2125	0.23395	0.256582
20191021	0.337238	0.24047	0.198049	0.148975	0.185475	0.2125	0.236	0.250666
20191018	0.338213	0.241209	0.198474	0.148975	0.185475	0.214	0.232	0.237727
20191017	0.330101	0.234715	0.195157	0.1505	0.193	0.21295	0.226	0.241986
20191016	0.470162	0.335449	0.276335	0.2075	0.252975	0.280525	0.281975	0.274597
20191015	0.494358	0.352616	0.291328	0.22	0.265525	0.2815	0.299	0.324932
20191014	0.494324	0.35259	0.291314	0.22	0.265525	0.2815	0.299	0.324926
20191011	0.494204	0.352499	0.291261	0.22	0.265525	0.2815	0.299	0.325039
20191010	0.512745	0.364883	0.304055	0.2346	0.289125	0.2925	0.299	0.334851
20191009	0.512062	0.364353	0.303737	0.2346	0.2895	0.2925	0.299	0.335598
20191008	0.606665	0.434569	0.355439	0.26	0.2885	0.2925	0.299	0.318479
20191007	0.610367	0.437315	0.357463	0.261	0.2885	0.2925	0.299	0.317867
20191004	0.610414	0.437351	0.357483	0.261	0.2885	0.2925	0.299	0.317799
20191003	0.615614	0.441393	0.359911	0.261	0.2855	0.2925	0.299	0.312052
20191002	0.615687	0.441449	0.359943	0.261	0.2855	0.2925	0.299	0.311976
20191001	0.612113	0.438799	0.357975	0.26	0.2855	0.2925	0.299	0.312679
20190930	0.560394	0.401451	0.327981	0.2394	0.2671	0.277	0.2889	0.305982
20190927	0.557665	0.399382	0.326792	0.2394	0.2671	0.2723	0.2889	0.317475
20190926	0.54955	0.393157	0.322934	0.239	0.27	0.27	0.30655	0.365577
20190925	0.486346	0.34854	0.283961	0.206	0.231	0.25	0.264	0.269424
20190924	0.486351	0.348544	0.283963	0.206	0.231	0.25	0.264	0.269594
20190923	0.477006	0.341458	0.279892	0.206	0.231	0.233	0.264	0.3105
20190920	0.475176	0.3401	0.278889	0.2055	0.231	0.233	0.264	0.310774
20190919	0.47316	0.338602	0.277805	0.205	0.231	0.233	0.264	0.310786
20190918	0.474077	0.339314	0.278232	0.205	0.2305	0.233	0.264	0.309152
20190917	0.470416	0.336599	0.276226	0.204	0.2305	0.233	0.264	0.310308
20190916	0.471311	0.337294	0.276643	0.204	0.23	0.233	0.264	0.309833
20190913	0.460327	0.329149	0.270626	0.201	0.23	0.233	0.2635	0.310372
20190912	0.460442	0.329236	0.270676	0.201	0.23	0.233	0.2635	0.309915
20190911	0.460416	0.329218	0.270654	0.200975	0.23	0.233	0.26	0.303123
20190910	0.429093	0.306301	0.252782	0.190025	0.225	0.233	0.261	0.302639
20190909	0.428928	0.306176	0.25271	0.190025	0.225	0.233	0.261	0.302028
20190906	0.428651	0.305966	0.252589	0.190025	0.225	0.2325	0.260925	0.303584
20190905	0.42619	0.3041	0.251517	0.190025	0.225	0.228	0.260925	0.314754
20190904	0.426375	0.304241	0.251598	0.190025	0.225	0.228	0.2375	0.265769
20190903	0.426342	0.304215	0.251583	0.190025	0.225	0.228	0.2375	0.265602
20190902	0.426341	0.304215	0.251583	0.190025	0.225	0.228	0.2375	0.265724
20190830	0.428138	0.305611	0.252421	0.190025	0.223975	0.22795	0.2375	0.263727
20190829	0.400767	0.285711	0.236929	0.1803	0.2161	0.2178	0.2377	0.279891
20190828	0.365266	0.259633	0.216812	0.1685	0.2125	0.22	0.243	0.285072
20190827	0.36512	0.259523	0.216748	0.1685	0.2125	0.22	0.243	0.285949
20190826	0.365055	0.259473	0.21672	0.1685	0.2125	0.22	0.243	0.286407
20190823	0.375263	0.267604	0.22104	0.167	0.2035	0.22	0.243	0.269756
20190822	0.333562	0.236654	0.198377	0.15605	0.20345	0.217	0.243	0.283789
20190821	0.333408	0.236537	0.19831	0.15605	0.20345	0.217	0.243	0.282842
20190820	0.32968	0.23371	0.196686	0.15605	0.20345	0.21055	0.24325	0.299488
20190819	0.329718	0.233739	0.196702	0.15605	0.20345	0.21055	0.24325	0.30009
20190821	0.360718	0.256725	0.213699	0.16455	0.20345	0.21055	0.243	0.294558
20190820	0.337781	0.240801	0.198677	0.15	0.186	0.2105	0.243	0.269508
20190819	0.352025	0.251448	0.205908	0.1525	0.18605	0.22	0.251525	0.262407
20190808	0.390422	0.278746	0.229596	0.17195	0.205	0.22	0.2525	0.289339
20190807	0.436793	0.312887	0.255558	0.1865	0.208975	0.22	0.2525	0.288412
20190806	0.44192	0.316873	0.257953	0.1865	0.206	0.22	0.2525	0.282543
20190805	0.41834	0.299391	0.245012	0.18	0.205975	0.22	0.244	0.268855
