DATE 	1	7	30	90	180	270	360	720	1080	1440	1800	2160	2520	2880	3240	3600
20230929	7.9620624	8.062848	8.166184484	8.230223654	8.311932555	8.323270935	8.315171805	8.176813333	8.01777164	7.964277667	7.952537153	7.98017458	8.010125037	8.042225251	8.073908212	8.104780857
20230928	7.979677582	8.080686159	8.184251264	8.248432113	8.330321787	8.332845244	8.315777705	8.15260327	8.005280804	7.908117227	7.900994647	7.915945575	7.946420672	7.989434526	8.042494036	8.082378038
20230927	7.997292764	8.098524318	8.202318043	8.266640573	8.348711018	8.359557931	8.35087249	8.153465365	7.977462028	7.874927049	7.873605125	7.87335086	7.881375862	7.90656526	7.955869991	8.00332484
20230926	7.926832036	8.027171682	8.130050924	8.193806734	8.275154093	8.321258864	8.348450713	8.152916759	7.93265031	7.895659844	7.857688431	7.811715462	7.833357948	7.869698291	7.910515254	7.941996362
20230925	7.926832036	8.027171682	8.130050924	8.193806734	8.275154093	8.329826218	8.36569333	8.135707952	7.885730132	7.882080508	7.880880965	7.875687458	7.872220023	7.884996714	7.919292811	7.938353542
20230922	7.926832036	8.027171682	8.130050924	8.193806734	8.275154093	8.329826218	8.36569333	8.058742906	7.870502753	7.805943827	7.823507275	7.773127911	7.743993421	7.753376144	7.81151419	7.834670779
20230921	7.926832036	8.027171682	8.130050924	8.193806734	8.275154093	8.329826218	8.36569333	8.105769747	7.850949657	7.813108553	7.871642815	7.808209783	7.775284378	7.783638157	7.836778341	7.849508315
20230920	7.944447218	8.045009841	8.148117703	8.212015194	8.293543324	8.339400527	8.366299231	8.077398988	7.819546999	7.795823712	7.887285551	7.825835344	7.792223147	7.799519102	7.839105541	7.82091315
20230919	7.909216853	8.009333522	8.111984144	8.175598276	8.256764861	8.311684555	8.347846637	8.010671101	7.777135525	7.79557421	7.877709731	7.79635441	7.768807882	7.770680517	7.77961103	7.774782174
20230918	7.926832036	8.027171682	8.130050924	8.193806734	8.275154093	8.312691508	8.331208096	8.075368276	7.794677427	7.793486443	7.86387162	7.818529363	7.817397843	7.828880578	7.833761433	7.856762717
20230915	7.926832036	8.027171682	8.130050924	8.193806734	8.275154093	8.321258864	8.348450713	8.061017443	7.803429419	7.802520018	7.916603935	7.871395077	7.848582122	7.856324783	7.892152713	7.905382233
20230914	7.944447218	8.045009841	8.148117703	8.212015194	8.293543324	8.322265817	8.331813997	8.0601031	7.811230216	7.81047993	7.905306315	7.877981743	7.872408643	7.891500762	7.937122601	7.947677017
20230913	7.944447218	8.045009841	8.148117703	8.212015194	8.293543324	8.322265817	8.331813997	8.088475601	7.843252718	7.867112009	7.932339053	7.8942533	7.903456868	7.92498422	7.938239415	7.963011369
20230912	7.9620624	8.062848	8.166184484	8.230223654	8.311932555	8.331840125	8.332418072	8.095311404	7.869731245	7.84702631	7.969345807	7.916762051	7.910465214	7.920013685	7.922533082	7.927230225
20230911	7.9620624	8.062848	8.166184484	8.230223654	8.311932555	8.331840125	8.332418072	8.122144325	7.877505666	7.847291908	7.950251507	7.939223789	7.933925316	7.923912444	7.903741926	7.936208607
20230908	7.9620624	8.062848	8.166184484	8.230223654	8.311932555	8.331840125	8.332418072	8.038460165	7.826127892	7.816609626	7.902020401	7.904836159	7.903555817	7.893976091	7.873550208	7.906804257
20230907	7.944447218	8.045009841	8.148117703	8.212015194	8.293543324	8.313698461	8.314567729	8.069826486	7.815938389	7.772481611	7.869516448	7.872600203	7.871932453	7.866813209	7.857631076	7.887166648
20230906	7.9620624	8.062848	8.166184484	8.230223654	8.311932555	8.323270935	8.315171805	8.051856597	7.899195244	7.842144123	7.897574939	7.898602098	7.918014685	7.93560872	7.947317305	7.98245263
20230905	7.944447218	8.045009841	8.148117703	8.212015194	8.293543324	8.305127437	8.297321461	8.036142087	7.891628537	7.813993882	7.915812322	7.931610651	7.942373055	7.95128326	7.961819291	7.991953115
20230904	7.944447218	8.045009841	8.148117703	8.212015194	8.293543324	8.313698461	8.314567729	8.057050065	7.910446393	7.802624648	7.94368605	7.985228589	8.005488366	8.020378441	8.050357012	8.079315333
20230901	7.944447218	8.045009841	8.148117703	8.212015194	8.293543324	8.313698461	8.314567729	8.092065051	7.939180097	7.820374689	7.94931495	8.050101686	8.085050795	8.105458533	8.154865178	8.205780219
