DATE 	DELTA	28	91	182	364	728	1092	1820	3640
20230929	10	0.684130012	0.453830846	0.356847003	0.261593164	0.307127122	0.342191371	0.324379017	0.317279884
20230928	10	0.712459034	0.475168796	0.372236188	0.270484285	0.315185733	0.337750504	0.345803625	0.376303576
20230927	10	0.713411721	0.477547184	0.376139411	0.275848449	0.322300516	0.330608869	0.353010945	0.376689966
20230926	10	0.707842602	0.467827862	0.371938447	0.2770478	0.321810516	0.330709843	0.353780652	0.37675162
20230925	10	0.727918262	0.492533836	0.407166929	0.296729646	0.35355847	0.350246686	0.357167669	0.390991585
20230922	10	0.735741664	0.486333422	0.384844323	0.294759325	0.351070742	0.343120735	0.344532711	0.384025865
20230921	10	0.889118811	0.589145338	0.470627113	0.321909514	0.354561353	0.354018437	0.347096497	0.365987925
20230920	10	0.915211561	0.597188192	0.476889631	0.324183367	0.350156522	0.347425474	0.351848055	0.366821607
20230919	10	0.908118652	0.595509431	0.472442412	0.330802673	0.348302572	0.357148133	0.348982299	0.369834292
20230918	10	0.89991197	0.591382441	0.468325591	0.318668665	0.348402396	0.354987885	0.353434858	0.361469112
20230915	10	0.929570137	0.607597529	0.460964709	0.333678476	0.344720203	0.355534018	0.353752219	0.356727323
20230914	10	0.922289378	0.597676751	0.469019677	0.324940567	0.356411525	0.344588688	0.347527703	0.364316403
20230913	10	0.798998364	0.538697088	0.425937352	0.296067955	0.321688458	0.332066768	0.334149736	0.339814895
20230912	10	0.811109139	0.539050753	0.428831182	0.294806601	0.319352511	0.330517416	0.340953307	0.370578664
20230911	10	0.823740827	0.528590445	0.419895315	0.302887798	0.324687937	0.314611698	0.366763314	0.422052489
20230908	10	0.689084287	0.470123916	0.363837302	0.25512119	0.280984837	0.293603682	0.305655467	0.310560415
20230907	10	0.691736712	0.481704064	0.370740308	0.255164107	0.283532196	0.290341712	0.297509328	0.309551559
20230906	10	0.70547276	0.449638755	0.360587306	0.256266504	0.274073018	0.272974806	0.308348549	0.360056077
20230905	10	0.686197735	0.462246931	0.357909673	0.255817039	0.283326458	0.269353989	0.302109403	0.353786944
20230904	10	0.699786645	0.456617158	0.355820627	0.251967411	0.278117747	0.278089613	0.302775641	0.35838337
20230901	10	0.687166041	0.459156666	0.35286224	0.250136075	0.279596699	0.269751737	0.306112092	0.345717788
20230831	10	0.681843714	0.44448433	0.352986083	0.252531892	0.268351012	0.274743951	0.307839132	0.356511601
20230830	10	0.674374211	0.454005744	0.354282357	0.249679359	0.272623738	0.274046574	0.302369024	0.358587419
20230829	10	0.67193338	0.451552483	0.347263181	0.246858373	0.276753364	0.271953793	0.304381508	0.35637643
20230828	10	0.660312897	0.43394916	0.348595492	0.239701425	0.278994687	0.268617939	0.310007987	0.349715021
20230825	10	0.668924645	0.442186819	0.351963667	0.252500021	0.271578079	0.270400345	0.302240565	0.343625952
20230824	10	0.626267968	0.408007914	0.328794977	0.22923937	0.270238405	0.288393024	0.297258878	0.350156713
20230823	10	0.598574753	0.403581171	0.333335774	0.229648944	0.270429681	0.276071447	0.299169462	0.340273603
