fecha	tfondeo
19981103	30.5
19981104	29.25
19981105	29.5
19981106	32.75
19981109	34.5
19981110	33.6
19981111	34.1
19981112	33.5
19981113	32
19981116	32.6
19981117	32.35
19981118	32
19981119	34.1
19981123	31.7
19981124	32.5
19981125	30.4
19981126	31.25
19981127	35.5
19981130	33
19981201	35.6
19981202	35
19981203	34.5
19981204	33
19981207	34.5
19981208	34.6
19981209	34.5
19981210	34
19981211	34.35
19981214	34.1
19981215	33.5
19981216	34
19981217	33
19981218	33
19981221	33
19981222	33
19981223	34.75
19981224	32.9
19981228	33.25
19981229	34
19981230	33
19981231	35
19990104	31.65
19990105	31.5
19990106	31.1
19990107	31
19990108	31
19990111	32
19990112	33
19990113	35.75
19990114	36.25
19990115	37
19990118	35
19990119	36.3
19990120	38
19990121	34.7
19990122	37.5
19990125	34.65
19990126	34.35
19990127	34.3
19990128	32
19990129	36.25
19990201	34
19990202	33.25
19990203	34.25
19990204	34.25
19990208	32
19990209	32.9
19990210	31.25
19990211	29.05
19990212	25.75
19990215	27.5
19990216	28.5
19990217	29
19990218	28
19990219	28
19990222	28
19990223	28.25
19990224	27.75
19990225	28.7
19990226	30.25
19990301	27.65
19990302	29.75
19990303	27.7
19990304	27.85
19990305	28.7
19990308	26.9
19990309	26.6
19990310	25.2
19990311	25
19990312	24.25
19990315	25.4
19990316	26.65
19990317	25.6
19990318	25.5
19990319	26
19990322	26
19990323	24.6
19990324	26
19990325	22.8
19990326	23.5
19990329	23.7
19990330	23
19990331	23.1
19990405	22.6
19990406	21.8
19990407	21.9
19990408	21
19990409	24
19990412	21.99
19990413	23.4
19990414	21.9
19990415	21.25
19990416	21.65
19990419	20.75
19990420	20
19990421	21
19990422	20.4
19990423	21.5
19990426	19.75
19990427	22
19990428	20
19990429	20.5
19990430	20.75
19990503	20.9
19990504	19.65
19990506	23
19990507	21
19990510	24.8
19990511	22
19990512	20.75
19990513	19.9
19990514	23.15
19990517	19.75
19990518	19.5
19990519	19.9
19990520	20.1
19990521	20
19990524	21
19990525	20.5
19990526	20.5
19990527	21.2
19990528	21.3
19990531	24.25
19990601	22.5
19990602	23.5
19990603	22
19990604	23.1
19990607	25.75
19990608	22.5
19990609	21.5
19990610	23.2
19990611	22.1
19990614	24
19990615	22.75
19990616	21.75
19990617	20.8
19990618	21.3
19990621	20.6
19990622	20.6
19990623	19.9
19990624	20.5
19990625	23
19990628	20.5
19990629	20.4
19990630	21.5
19990701	19.35
19990702	23.5
19990705	21.7
19990706	21
19990707	19.75
19990708	19.75
19990709	19.5
19990712	20
19990713	20.6
19990714	19.25
19990715	19.25
19990716	19.9
19990719	19.7
19990720	20
19990721	19.45
19990722	20.25
19990723	20.6
19990726	22
19990727	20.1
19990728	20.4
19990729	21.6
19990730	21.24
19990802	22.25
19990803	23.75
19990804	20.75
19990805	21
19990806	20.5
19990809	22
19990810	20
19990811	18.9
19990812	20
19990813	20.15
19990816	20.6
19990817	19.5
19990818	20
19990819	19.1
19990820	20
19990823	20
19990824	18.5
19990825	20.5
19990826	19.7
19990827	18.6
19990830	17.25
19990831	20.25
19990902	19.75
19990903	23
19990906	20.1
19990907	19.4
19990908	22
19990909	20.5
19990910	20.5
19990913	20.7
19990914	20
19990915	23
19990917	21.05
19990920	19.55
19990921	20.2
19990922	18.9
19990923	18.5
19990924	21.5
19990927	19.55
19990928	21.35
19990929	17
19990930	18.65
19991001	18.75
19991004	18.7
19991005	18.5
19991006	18.75
19991007	17.75
19991008	17.75
19991011	16.9
19991012	17
19991013	17.3
19991014	17.75
19991015	19
19991018	19.25
19991019	18.35
19991020	18
19991021	17.5
19991022	17.7
19991025	18.4
19991026	18
19991027	15.25
19991028	17.35
19991029	18.25
19991101	19.5
19991103	17.25
19991104	16.5
19991105	16
19991108	15.8
19991109	17
19991110	17.35
19991111	16.2
19991112	16.5
19991115	17.3
19991116	16.5
19991117	16.75
19991118	16.75
19991119	18.1
19991122	20
19991123	19.7
19991124	18.1
19991125	21.5
19991126	19.15
19991129	19.4
19991130	20.1
19991201	17.6
19991202	17.5
19991203	17.5
19991206	17.25
19991207	17.25
19991208	17.25
19991209	16.5
19991210	17.25
19991213	17.5
19991214	16.7
19991215	16.75
19991216	16.65
19991217	18.25
19991220	17
19991221	16.75
19991222	15.5
19991223	16.75
19991224	17.25
19991227	17.25
19991228	16.6
19991229	17.25
19991230	17.75
20000103	16.8
20000104	16.7
20000105	16.95
20000106	17.1
20000107	18
20000110	16.5
20000111	16.5
20000112	16.21
20000113	16.7
20000114	17.7
20000117	17.3
20000118	16.5
20000119	18.5
20000120	18.75
20000121	18.7
20000124	18.4
20000125	18.4
20000126	18.7
20000127	18.1
20000128	19.25
20000131	19.15
20000201	19.4
20000202	19.1
20000203	17.95
20000204	17.7
20000207	17.25
20000208	17.5
20000209	17.25
20000210	16.75
20000211	16.75
20000214	17.4
20000215	17
20000216	18
20000217	16.65
20000218	16.55
20000221	16.8
20000222	16.85
20000223	17.2
20000224	16.5
20000225	17.2
20000228	17.95
20000229	16.9
20000301	16
20000302	16.2
20000303	16.1
20000306	15.3
20000307	15.5
20000308	15.35
20000309	14.7
20000310	15.75
20000313	15.15
20000314	15.25
20000315	13
20000316	14.55
20000317	15.9
20000320	14.5
20000322	14.25
20000323	14.1
20000324	13.7
20000327	14.75
20000328	14.5
20000329	14.3
20000330	13.6
20000331	14
20000403	14
